timestamp,bpm,quality,source,restorative
2023-08-13T14:50:20.000Z,74,good,awake,False
2023-08-13T15:16:04.000Z,102,bad,awake,False
2023-08-13T15:16:05.000Z,94,bad,awake,False
2023-08-13T15:16:07.000Z,106,bad,awake,False
2023-08-13T15:37:08.000Z,66,good,awake,False
2023-08-13T15:37:17.000Z,67,good,awake,False
2023-08-13T15:37:18.000Z,69,good,awake,False
2023-08-13T15:47:01.148Z,53,good,live,False
2023-08-13T16:06:27.000Z,74,good,awake,False
2023-08-13T16:06:29.000Z,75,good,awake,False
2023-08-13T16:06:34.000Z,78,good,awake,False
2023-08-13T16:16:42.000Z,88,average,awake,False
2023-08-13T16:17:08.000Z,82,average,awake,False
2023-08-13T16:32:07.000Z,121,average,awake,False
2023-08-13T16:32:12.000Z,108,average,awake,False
2023-08-13T16:32:22.000Z,68,average,awake,False
2023-08-13T16:37:40.000Z,78,good,awake,False
2023-08-13T16:37:48.000Z,84,good,awake,False
2023-08-13T16:37:53.000Z,82,good,awake,False
2023-08-13T16:47:52.000Z,83,bad,awake,False
2023-08-13T16:48:25.000Z,86,bad,awake,False
2023-08-13T16:48:26.000Z,72,bad,awake,False
2023-08-13T16:52:59.000Z,92,good,awake,False
2023-08-13T16:53:15.000Z,85,good,awake,False
2023-08-13T16:53:26.000Z,78,good,awake,False
2023-08-13T16:58:42.000Z,80,good,awake,False
2023-08-13T16:58:46.000Z,86,good,awake,False
2023-08-13T16:58:47.000Z,90,good,awake,False
2023-08-13T17:14:26.000Z,73,bad,awake,False
2023-08-13T17:14:30.000Z,76,bad,awake,False
2023-08-13T17:14:34.000Z,79,bad,awake,False
2023-08-13T17:19:31.000Z,70,good,awake,False
2023-08-13T17:19:32.000Z,82,good,awake,False
2023-08-13T17:19:36.000Z,67,good,awake,False
2023-08-13T17:24:42.000Z,90,good,awake,False
2023-08-13T17:24:50.000Z,85,good,awake,False
2023-08-13T17:25:16.000Z,81,good,awake,False
2023-08-13T17:30:53.000Z,112,average,awake,False
2023-08-13T17:30:55.000Z,101,average,awake,False
2023-08-13T17:30:56.000Z,90,average,awake,False
2023-08-13T17:35:59.000Z,91,good,awake,False
2023-08-13T17:36:05.000Z,83,good,awake,False
2023-08-13T17:36:06.000Z,89,good,awake,False
2023-08-13T17:40:54.000Z,91,average,awake,False
2023-08-13T17:40:56.000Z,100,average,awake,False
2023-08-13T17:41:30.000Z,85,average,awake,False
2023-08-13T17:46:04.000Z,86,good,awake,False
2023-08-13T17:46:09.000Z,90,good,awake,False
2023-08-13T17:46:10.000Z,88,good,awake,False
2023-08-13T17:51:39.000Z,94,good,awake,False
2023-08-13T17:51:42.000Z,96,good,awake,False
2023-08-13T17:52:12.000Z,100,good,awake,False
2023-08-13T17:56:53.000Z,102,good,awake,False
2023-08-13T17:56:55.000Z,103,good,awake,False
2023-08-13T17:57:03.000Z,100,good,awake,False
2023-08-13T18:07:16.000Z,92,good,awake,False
2023-08-13T18:07:18.000Z,90,good,awake,False
2023-08-13T18:07:20.000Z,95,good,awake,False
2023-08-13T18:17:10.000Z,102,good,awake,False
2023-08-13T18:17:11.000Z,99,good,awake,False
2023-08-13T18:17:32.000Z,94,good,awake,False
2023-08-13T18:22:38.000Z,59,bad,awake,False
2023-08-13T18:22:54.000Z,61,bad,awake,False
2023-08-13T18:22:55.000Z,72,bad,awake,False
2023-08-13T18:29:18.000Z,100,bad,awake,False
2023-08-13T18:29:20.000Z,106,bad,awake,False
2023-08-13T18:29:30.000Z,103,bad,awake,False
2023-08-13T18:35:08.000Z,93,good,awake,False
2023-08-13T18:35:09.000Z,82,good,awake,False
2023-08-13T18:54:48.000Z,109,bad,awake,False
2023-08-13T18:54:51.000Z,79,bad,awake,False
2023-08-13T18:55:25.000Z,100,bad,awake,False
2023-08-13T19:35:24.000Z,107,average,awake,False
2023-08-13T19:35:25.000Z,102,average,awake,False
2023-08-13T19:35:28.000Z,92,average,awake,False
2023-08-13T19:57:27.000Z,112,bad,awake,False
2023-08-13T19:57:28.000Z,105,bad,awake,False
2023-08-13T19:57:56.000Z,92,bad,awake,False
2023-08-13T20:16:53.000Z,81,average,awake,False
2023-08-13T20:17:05.000Z,74,average,awake,False
2023-08-13T20:28:05.000Z,67,bad,awake,False
2023-08-13T20:28:14.000Z,80,bad,awake,False
2023-08-13T20:28:18.000Z,82,bad,awake,False
2023-08-13T20:38:42.000Z,99,bad,awake,False
2023-08-13T20:38:53.000Z,93,bad,awake,False
2023-08-13T20:39:09.000Z,81,bad,awake,False
2023-08-13T20:44:14.000Z,113,bad,awake,False
2023-08-13T20:44:15.000Z,125,bad,awake,False
2023-08-13T20:44:23.000Z,110,bad,awake,False
2023-08-13T20:48:58.000Z,74,bad,awake,False
2023-08-13T20:49:08.000Z,81,bad,awake,False
2023-08-13T20:49:34.000Z,77,bad,awake,False
2023-08-13T20:54:12.000Z,82,average,awake,False
2023-08-13T20:54:47.000Z,84,average,awake,False
2023-08-13T21:48:16.000Z,69,average,awake,False
2023-08-13T21:48:23.000Z,80,average,awake,False
2023-08-13T21:48:26.000Z,77,average,awake,False
2023-08-13T21:54:05.000Z,101,bad,awake,False
2023-08-13T21:54:06.000Z,99,bad,awake,False
2023-08-13T21:54:07.000Z,98,bad,awake,False
2023-08-13T22:00:48.000Z,67,bad,awake,False
2023-08-13T22:01:04.000Z,106,bad,awake,False
2023-08-13T22:01:06.000Z,97,bad,awake,False
2023-08-13T22:07:01.000Z,97,good,awake,False
2023-08-13T22:07:02.000Z,104,good,awake,False
2023-08-13T22:07:22.000Z,77,good,awake,False
2023-08-13T22:12:00.000Z,91,good,awake,False
2023-08-13T22:12:36.000Z,88,good,awake,False
2023-08-13T22:12:39.000Z,81,good,awake,False
2023-08-13T22:17:36.000Z,74,good,awake,False
2023-08-13T22:17:40.000Z,69,good,awake,False
2023-08-13T22:17:43.000Z,80,good,awake,False
2023-08-14T00:44:16.000Z,65,bad,awake,False
2023-08-14T00:44:20.000Z,75,bad,awake,False
2023-08-14T00:44:30.000Z,72,bad,awake,False
2023-08-14T01:04:31.000Z,102,bad,awake,False
2023-08-14T01:04:50.000Z,113,bad,awake,False
2023-08-14T01:05:07.000Z,108,bad,awake,False
2023-08-14T01:41:09.000Z,108,good,awake,False
2023-08-14T01:41:12.000Z,118,good,awake,False
2023-08-14T01:41:22.000Z,113,good,awake,False
2023-08-14T02:06:57.000Z,97,good,awake,False
2023-08-14T02:06:58.000Z,86,good,awake,False
2023-08-14T02:07:05.000Z,88,good,awake,False
2023-08-14T02:11:54.000Z,87,good,awake,False
2023-08-14T02:12:13.000Z,90,good,awake,False
2023-08-14T02:19:37.000Z,118,average,awake,False
2023-08-14T02:19:38.000Z,112,average,awake,False
2023-08-14T02:19:39.000Z,109,average,awake,False
2023-08-14T02:25:44.000Z,97,average,awake,False
2023-08-14T02:25:45.000Z,98,average,awake,False
2023-08-14T02:25:49.000Z,104,average,awake,False
2023-08-14T02:31:50.000Z,111,good,awake,False
2023-08-14T02:31:53.000Z,105,good,awake,False
2023-08-14T02:31:54.000Z,108,good,awake,False
2023-08-14T02:38:14.000Z,74,bad,awake,False
2023-08-14T02:38:27.000Z,86,bad,awake,False
2023-08-14T02:38:31.000Z,79,bad,awake,False
2023-08-14T02:45:35.000Z,76,bad,awake,False
2023-08-14T02:46:00.000Z,86,bad,awake,False
2023-08-14T02:46:02.000Z,95,bad,awake,False
2023-08-14T02:51:21.000Z,77,good,awake,False
2023-08-14T02:51:23.000Z,79,good,awake,False
2023-08-14T02:51:27.000Z,74,good,awake,False
2023-08-14T02:56:12.000Z,80,good,awake,False
2023-08-14T02:56:26.000Z,78,good,awake,False
